var_class,eco_response,model_id,model_call,estimate,ci.lb,ci.ub,pi.lb,pi.ub,pval
ecosystem processes,herbivory_marks,herbivory_marks_intercept_only,builds/models/null_models/herbivory_marks_intercept_only.rds,1.53633728466483,0.163482500783715,2.90919206854594,-3.6019231930737,6.67459776240335,0.0359737971712273
plant community,plant_structure,plant_structure_intercept_only,builds/models/null_models/plant_structure_intercept_only.rds,-0.193202829682616,-0.545761470789242,0.15935581142401,-3.0601255681048,2.67371990873957,0.268628955527717
plant chemistry,plant_C_content,plant_C_content_intercept_only,builds/models/null_models/plant_C_content_intercept_only.rds,-0.460217152292757,-1.114489331549,0.194055026963484,-3.07442142293606,2.15398711835055,0.149851685154768
plant chemistry,plant_N_content,plant_N_content_intercept_only,builds/models/null_models/plant_N_content_intercept_only.rds,0.297468845656037,-0.0847901680527963,0.679727859364869,-2.19536427448755,2.79030196579962,0.122324639786167
plant chemistry,plant_defense,plant_defense_intercept_only,builds/models/null_models/plant_defense_intercept_only.rds,-0.0399413614978184,-0.3407383565209,0.260855633525263,-0.982016038696033,0.902133315700396,0.767267371433731
soil properties,soil_N_labile,soil_N_labile_intercept_only,builds/models/null_models/soil_N_labile_intercept_only.rds,0.177255292963237,-0.13769234202869,0.492202927955164,-1.20245405006498,1.55696463599145,0.252424578340916
soil properties,soil_C_labile,soil_C_labile_intercept_only,builds/models/null_models/soil_C_labile_intercept_only.rds,0.038507287646909,-1.18168161667843,1.25869619197225,-3.97876258808225,4.05577716337607,0.945327968007568
soil properties,soil_C_total,soil_C_total_intercept_only,builds/models/null_models/soil_C_total_intercept_only.rds,-0.105840095298104,-0.400399617891439,0.188719427295231,-0.400399619632152,0.188719429035945,0.423623999459483
soil properties,soil_N_total,soil_N_total_intercept_only,builds/models/null_models/soil_N_total_intercept_only.rds,-0.384114699194665,-1.12011242857804,0.351883030188707,-3.2559043500878,2.48767495169847,0.263185965597143
soil properties,soil_compaction,soil_compaction_intercept_only,builds/models/null_models/soil_compaction_intercept_only.rds,0.366439075309837,-0.174728394405278,0.907606545024953,-0.596243079544652,1.32912123016433,0.133280326503855
soil properties,soil_moisture,soil_moisture_intercept_only,builds/models/null_models/soil_moisture_intercept_only.rds,-0.0364753804114933,-0.761492996900503,0.688542236077516,-2.97451171804813,2.90156095722514,0.916391111054071
plant community,plant_height,plant_height_intercept_only,builds/models/null_models/plant_height_intercept_only.rds,-1.20443169230318,-1.76954885056106,-0.639314534045293,-3.60870789486364,1.19984451025728,0.000388761456005906
plant community,plant_fitness,plant_fitness_intercept_only,builds/models/null_models/plant_fitness_intercept_only.rds,-0.40002267546456,-1.05775405541046,0.257708704481344,-4.14924973556056,3.34920438463144,0.211592362713029
plant community,plant_leaf_size,plant_leaf_size_intercept_only,builds/models/null_models/plant_leaf_size_intercept_only.rds,-0.810264884222097,-1.30152696763508,-0.319002800809117,-3.19079275014906,1.57026298170487,0.00286667433544776
plant community,plant_species_richness,plant_species_richness_intercept_only,builds/models/null_models/plant_species_richness_intercept_only.rds,0.00222508696924887,-0.179125263525847,0.183575437464344,-0.857159704975014,0.861609878913511,0.979780013751747
plant community,plant_diversity,plant_diversity_intercept_only,builds/models/null_models/plant_diversity_intercept_only.rds,0.127751877696239,-0.0714176319146381,0.326921387307115,-0.922856162307461,1.17835991769994,0.183438478155735
plant community,plant_structure_change,plant_structure_change_intercept_only,builds/models/null_models/plant_structure_change_intercept_only.rds,-0.0868453402375313,-0.411379181892928,0.237688501417865,-2.2914500766852,2.11775939621013,0.582900503640812
ecosystem processes,plant_productivity,plant_productivity_intercept_only,builds/models/null_models/plant_productivity_intercept_only.rds,-0.0520625161215228,-0.450805621947053,0.346680589704008,-1.68189756000661,1.57777252776357,0.786274455807208
plant chemistry,plant_CN_ratio,plant_CN_ratio_intercept_only,builds/models/null_models/plant_CN_ratio_intercept_only.rds,-0.468603331361384,-1.31498446611956,0.377777803396795,-3.37818140178763,2.44097473906486,0.248490731225744
plant abundance,plant_abundance_total,plant_abundance_total_intercept_only,builds/models/null_models/plant_abundance_total_intercept_only.rds,-0.728186278499543,-1.0235373034226,-0.432835253576488,-3.12282801971467,1.66645546271558,9.9586711950018e-06
plant abundance,plant_abundance_belowground,plant_abundance_belowground_intercept_only,builds/models/null_models/plant_abundance_belowground_intercept_only.rds,-0.645919709344613,-2.23684521308707,0.94500579439784,-5.45091718729714,4.15907776860791,0.376545433286504
soil microorganisms,microorganism_abundance,microorganism_abundance_intercept_only,builds/models/null_models/microorganism_abundance_intercept_only.rds,-0.147880401726981,-0.865969399467877,0.570208596013915,-2.46651630343815,2.17075549998419,0.598074649551293
plant abundance,plant_abundance_tall_shrubs,plant_abundance_tall_shrubs_intercept_only,builds/models/null_models/plant_abundance_tall_shrubs_intercept_only.rds,-0.203552285024722,-0.554368660514095,0.14726409046465,-1.82573143141033,1.41862686136089,0.225143174745143
plant abundance,plant_abundance_dwarf_shrubs,plant_abundance_dwarf_shrubs_intercept_only,builds/models/null_models/plant_abundance_dwarf_shrubs_intercept_only.rds,-0.404756054204579,-1.0720318536991,0.262519745289945,-4.40628894359094,3.59677683518178,0.226375209225192
plant abundance,plant_abundance_graminoids,plant_abundance_graminoids_intercept_only,builds/models/null_models/plant_abundance_graminoids_intercept_only.rds,-0.337802366756262,-0.543122135805536,-0.132482597706988,-2.87413955011031,2.19853481659778,0.00166097796585387
plant abundance,plant_abundance_lichens,plant_abundance_lichens_intercept_only,builds/models/null_models/plant_abundance_lichens_intercept_only.rds,-0.208139366083511,-0.45151021809021,0.0352314859231889,-1.96839313962022,1.5521144074532,0.090122517773901
plant abundance,plant_abundance_bryophytes,plant_abundance_bryophytes_intercept_only,builds/models/null_models/plant_abundance_bryophytes_intercept_only.rds,-0.0453460448066416,-0.284708015993451,0.194015926380168,-1.68078548660106,1.59009339698778,0.702133415615694
plant community,vegetation_structure,vegetation_structure_intercept_only,builds/models/null_models/vegetation_structure_intercept_only.rds,0.970463426048052,-0.758151377793147,2.69907822988925,-3.67584706288601,5.61677391498212,0.218642061562603
soil properties,soil_temperature,soil_temperature_intercept_only,builds/models/null_models/soil_temperature_intercept_only.rds,0.517011001557358,0.111292554628875,0.922729448485841,-0.734294109062056,1.76831611217677,0.0171290137260158
soil microorganisms,microbial_N_content,microbial_N_content_intercept_only,builds/models/null_models/microbial_N_content_intercept_only.rds,0.186911489404566,-0.453937251800762,0.827760230609894,-1.58172143834512,1.95554441715425,0.502233217995233
plant community,plant_population_dynamics,plant_population_dynamics_intercept_only,builds/models/null_models/plant_population_dynamics_intercept_only.rds,0.0521385266358395,-0.0995381641969031,0.203815217468582,-0.0995381683597829,0.203815221631462,0.443075928163883
plant community,litter_abundance,litter_abundance_intercept_only,builds/models/null_models/litter_abundance_intercept_only.rds,-0.806240946616959,-1.47294878655497,-0.139533106678946,-3.71949737413337,2.10701548089946,0.0203596398011699
ecosystem processes,gross_primary_productivity,gross_primary_productivity_intercept_only,builds/models/null_models/gross_primary_productivity_intercept_only.rds,-0.0194840669701745,-0.554700370377069,0.51573223643672,-1.77862963980224,1.73966150586189,0.93616941610935
ecosystem processes,ecosystem_respiration,ecosystem_respiration_intercept_only,builds/models/null_models/ecosystem_respiration_intercept_only.rds,-0.270996411255471,-0.84259323991733,0.300600417406387,-2.01850015871247,1.47650733620153,0.311410841316013
ecosystem processes,net_ecosystem_exchange,net_ecosystem_exchange_intercept_only,builds/models/null_models/net_ecosystem_exchange_intercept_only.rds,0.932919735723252,-0.195741129984916,2.06158060143142,-1.87345015260258,3.73928962404909,0.0895835012794947
plant community,moss_depth,moss_depth_intercept_only,builds/models/null_models/moss_depth_intercept_only.rds,-0.520600377889858,-0.975666443761675,-0.0655343120180413,-2.52553982778783,1.48433907200811,0.0304113661577402
ecosystem processes,C_turnover,C_turnover_intercept_only,builds/models/null_models/C_turnover_intercept_only.rds,-0.180254744502454,-0.71134283549959,0.350833346494681,-2.26095897040126,1.90044948139635,0.42286219181068
soil properties,soil_CN_ratio,soil_CN_ratio_intercept_only,builds/models/null_models/soil_CN_ratio_intercept_only.rds,0.275225344922679,-0.552891690010153,1.10334237985551,-1.28567865787466,1.83612934772002,0.40835769453937
soil microorganisms,fungal_abundance,fungal_abundance_intercept_only,builds/models/null_models/fungal_abundance_intercept_only.rds,-0.0807921915178244,-0.41513592826871,0.253551545233061,-1.46035816491524,1.29877378187959,0.575914184822417
soil microorganisms,microbial_C_cycle,microbial_C_cycle_intercept_only,builds/models/null_models/microbial_C_cycle_intercept_only.rds,0.292380333338795,-0.408469046876384,0.993229713553974,-1.43224493569743,2.01700560237502,0.311195733007569
soil microorganisms,microbial_abundance,microbial_abundance_intercept_only,builds/models/null_models/microbial_abundance_intercept_only.rds,0.0445076787798643,-0.729509282477168,0.818524640036897,-1.64576572524087,1.73478108280059,0.888265379430936
plant chemistry,plant_quality,plant_quality_intercept_only,builds/models/null_models/plant_quality_intercept_only.rds,-0.325063221704049,-1.15769888929312,0.507572445885026,-4.46090307422049,3.81077663081239,0.386640199531184
plant chemistry,plant_P_content,plant_P_content_intercept_only,builds/models/null_models/plant_P_content_intercept_only.rds,0.434116256677618,-0.750499360096061,1.6187318734513,-2.51708299491039,3.38531550826563,0.38943450219012
plant abundance,plant_abundance_woody_species,plant_abundance_woody_species_intercept_only,builds/models/null_models/plant_abundance_woody_species_intercept_only.rds,0.011707353261168,-0.155776961298744,0.17919166782108,-0.155776961378737,0.179191667901073,0.864453583493125
soil properties,redox_conditions,redox_conditions_intercept_only,builds/models/null_models/redox_conditions_intercept_only.rds,0.732144193197449,-1.07029922984547,2.53458761624036,-4.76963784513832,6.23392623153322,0.322479990073351
plant abundance,plant_abundance_forbs,plant_abundance_forbs_intercept_only,builds/models/null_models/plant_abundance_forbs_intercept_only.rds,-0.300661519404926,-0.488379241889419,-0.112943796920433,-1.65061679760057,1.04929375879072,0.00256834930811024
soil microorganisms,microbial_C_content,microbial_C_content_intercept_only,builds/models/null_models/microbial_C_content_intercept_only.rds,0.132929530774368,-0.849579395389062,1.1154384569378,-1.7045145563735,1.97037361792224,0.726255087352916
