"name_target","new.value","type","plant_group","comments"
"Achillea_millefolia","Achillea_millefolia","species","forbs",NA
"Alchemilla spp","Alchemilla_spp","species","forbs",NA
"Alectoria_nigricans","Alectoria_nigricans","species","lichens",NA
"Alectoria_ochroleuca","Alectoria_ochroleuca","species","lichens",NA
"Andromeda_polifolia","Andromeda_polifolia","species","dwarf_shrubs",NA
"Anthoxanthum_odoratum","Anthoxanthum_odoratum","species","graminoids",NA
"Anthoxanthum_odoratum_spp._alpinum","Anthoxanthum_odoratum_spp._alpinum","species","graminoids",NA
"Arctagrostis_latifolia","Arctagrostis_latifolia","species","graminoids",NA
"Aulacomnium_palustre","Aulacomnium_palustre","species","bryophytes",NA
"Aulacomnium_spp","Aulacomnium_spp","species","bryophytes",NA
"Barbilophozia_kunzeana","Barbilophozia_kunzeana","species","bryophytes",NA
"Betula_and_Salix","Betula_and_Salix","group","tall_shrubs",NA
"Betula_glandulosa","Betula_glandulosa","species","tall_shrubs",NA
"Betula_nana","Betula_nana","species","dwarf_shrubs",NA
"Betula_pubescens","Betula_pubescens","species","trees",NA
"Bistorta_vivipara","Bistorta_vivipara","species","forbs",NA
"Bryales","Bryales","group","bryophytes",NA
"Bryidae","Bryidae","group","bryophytes",NA
"bryophytes","bryophytes","group","bryophytes",NA
"Calamagrostis_canadensis","Calamagrostis_canadensis","species","graminoids",NA
"Calamagrostis_deschampsioides","Calamagrostis_deschampsioides","species","graminoids",NA
"Calamagrostis_lapponica","Calamagrostis_lapponica","species","graminoids",NA
"Calamagrostis_purpurea","Calamagrostis_purpurea","species","graminoids",NA
"Calliergon_richardsonii","Calliergon_richardsonii","species","bryophytes",NA
"Campanula_rotundifolia","Campanula_rotundifolia","species","forbs",NA
"Cardamine_pratensis","Cardamine_pratensis","species","forbs",NA
"Cardamine_pratensis_subsp._polemonioides","Cardamine_pratensis_subsp._polemonioides","species","forbs",NA
"Carex_aquatilis","Carex_aquatilis","species","graminoids",NA
"Carex_aquatilis_ssp_stans","Carex_aquatilis_subsp._stans","species","graminoids",NA
"Carex_bigelowii","Carex_bigelowii","species","graminoids",NA
"Carex_brunnescens","Carex_brunnescens","species","graminoids",NA
"Carex_glareosa","Carex_glareosa","species","graminoids",NA
"Carex_juncella","Carex_juncella","species","graminoids",NA
"Carex_lachenalii","Carex_lachenalii","species","graminoids",NA
"Carex_membranacea","Carex_membranacea","species","graminoids",NA
"Carex_ramenskii","Carex_ramenskii","species","graminoids",NA
"Carex_spp","Carex_spp","species","graminoids",NA
"Carex_stans","Carex_stans","species","graminoids",NA
"Carex_subspathacea","Carex_subspathacea","species","graminoids",NA
"Carex_vaginata","Carex_vaginata","species","graminoids",NA
"Caryophyllaceae","Caryophyllaceae","group","forbs",NA
"Cassiope_hypnoides","Cassiope_hypnoides","species","dwarf_shrubs",NA
"Cerastium_arcticum","Cerastium_arcticum","species","forbs",NA
"Cerastium_fontanum","Cerastium_fontanum","species","forbs",NA
"Cetraria_cucullata","Cetraria_cucullata","species","lichens",NA
"Cetraria_delisei","Cetraria_delisei","species","lichens",NA
"Cetraria_islandica","Cetraria_islandica","species","lichens",NA
"Cetraria_kamczatka","Cetraria_kamczatka","species","lichens",NA
"Cetraria_nivalis","Cetraria_nivalis","species","lichens",NA
"Cetraria_spp","Cetraria_spp","species","lichens",NA
"Cetrariella_delisei","Cetrariella_delisei","species","lichens",NA
"Cladina_arbuscula","Cladina_arbuscula","species","lichens",NA
"Cladina_mitis","Cladina_mitis","species","lichens",NA
"Cladina_rangiferina","Cladina_rangiferina","species","lichens",NA
"Cladina_spp","Cladina_spp","species","lichens",NA
"Cladina_stellaris","Cladina_stellaris","species","lichens",NA
"Cladina_uncialis","Cladina_uncialis","species","lichens",NA
"Cladonia_amaurocrea","Cladonia_amaurocrea","species","lichens",NA
"Cladonia_crispata","Cladonia_crispata","species","lichens",NA
"Cladonia_digitata","Cladonia_digitata","species","lichens",NA
"Cladonia_gracilis","Cladonia_gracilis","species","lichens",NA
"Cladonia_gracillis","Cladonia_gracilis","species","lichens",NA
"Cladonia_nigripes","Cladonia_nigripes","species","lichens",NA
"Cladonia_rangiferina","Cladonia_rangiferina","species","lichens",NA
"Cladonia_spp","Cladonia_spp","species","lichens",NA
"Cladonia_uncialis","Cladonia_uncialis","species","lichens",NA
"Cochlearia_groenlandica","Cochlearia_groenlandica","species","forbs",NA
"colonizing_bryophytes","colonizing_bryophytes","group","bryophytes",NA
"community","community","group","total",NA
"Conostomum_tetragonum","Conostomum_tetragonum","species","bryophytes",NA
"Cornus_canadensis","Cornus_canadensis","species","tall_shrubs",NA
"Cornus_suecica","Cornus_suecica","species","tall_shrubs",NA
"crustose_lichens","crustose_lichens","group","lichens",NA
"cryptogams","cryptogams","group","cryptogams","*cannot merge with others"
"cryptogams_and_other","cryptogams_and_other","group","cryptogams_and_other","*one article (ID 221) pooling together cryptogams_and_other (moss, bare ground, etc), another (ID 1785) includes crustose lichens and bare ground (reclassified as ""bare_ground""); cannot merge with others"
"Cynodontium_sp.","Cynodontium_spp","species","bryophytes",NA
"Dactylina_arctica","Dactylina_arctica","species","graminoids",NA
"dead_vascular_plants","dead_vascular_plants","group","litter","*mix of dwarf and tall shrubs"
"deciduous_dwarf_shrubs","deciduous_dwarf_shrubs","group","dwarf_shrubs",NA
"deciduous_shrubs","deciduous_shrubs","group","woody_species","*cannot merge with others"
"deciduous_tall_shrubs","deciduous_tall_shrubs","group","tall_shrubs","*includes dwarf, tall shrubs and trees"
"deciduous_woody_plants","deciduous_woody_plants","group","woody_species",NA
"Deschampsia_alpina","Deschampsia_alpina","species","graminoids",NA
"Deschampsia_caespitosa","Deschampsia_caespitosa","species","graminoids",NA
"Deschampsia_flexuosa","Deschampsia_flexuosa","species","graminoids",NA
"dicotyledoneous_plants","dicotyledoneous_plants","group","forbs",NA
"Dicranum_spp_and_Kiaeria_spp","Dicranum_spp_and_Kiaeria_spp","group","bryophytes",NA
"Dryas_octopetala","Dryas_octopetala","species","dwarf_shrubs",NA
"Dupontia_fisheri","Dupontia_fisheri","species","graminoids",NA
"Dupontia_psilosantha","Dupontia_psilosantha","species","graminoids",NA
"dwarf_shrubs","dwarf_shrubs","group","dwarf_shrubs",NA
"Eleocharis_acicularis","Eleocharis_acicularis","species","graminoids",NA
"Empetrum_hermaphroditum","Empetrum_hermaphroditum","species","dwarf_shrubs",NA
"Empetrum_nigrum","Empetrum_nigrum","species","dwarf_shrubs",NA
"Equisetum_arvense","Equisetum_arvense","species","forbs",NA
"Equisetum_pratense","Equisetum_pratense","species","forbs",NA
"Equisetum_sp","Equisetum_spp","species","forbs",NA
"Equisetum_spp","Equisetum_spp","species","forbs",NA
"erect_herbs","erect_herbs","group","forbs",NA
"ericoids","ericoids","group","dwarf_shrubs",NA
"ericoids_and_evergreen_shrubs","ericoids_and_evergreen_shrubs","group","dwarf_shrubs",NA
"Eriophorum_angustifolium","Eriophorum_angustifolium","species","graminoids",NA
"Eriophorum_angustifolium_ssp_triste","Eriophorum_angustifolium_ssp_triste","species","graminoids",NA
"Eriophorum_scheuchzeri","Eriophorum_scheuchzeri","species","graminoids",NA
"Eriophorum_spp","Eriophorum_spp","species","graminoids",NA
"Eriophorum_triste","Eriophorum_angustifolium_ssp_triste","species","graminoids",NA
"Eriophorum_vaginatum","Eriophorum_vaginatum","species","graminoids",NA
"evergreen_dwarf_shrubs","evergreen_dwarf_shrubs","group","dwarf_shrubs",NA
"evergreen_shrubs","evergreen_shrubs","group","dwarf_shrubs",NA
"Festuca_ovina","Festuca_ovina","species","graminoids",NA
"Festuca_ovina_and_Deschampsia_flexuosa","Festuca_ovina_and_Deschampsia_flexuosa","group","graminoids",NA
"Festuca_rubra","Festuca_rubra","species","graminoids",NA
"flowering_plants","flowering_plants","group","forbs",NA
"foliose_lichens","foliose_lichens","group","lichens",NA
"forbs","forbs","group","forbs",NA
"forbs_and_shrubs","forbs_and_shrubs","group","forbs_and_shrubs","*cannot merge with others"
"fruticose_lichens","fruticose_lichens","group","lichens",NA
"fungi","fungi","group","fungi",NA
"Geranium_sylvaticum","Geranium_sylvaticum","species","forbs",NA
"Gnaphalium_norvegicum","Gnaphalium_norvegicum","species","forbs",NA
"Gnaphalium_supinum","Gnaphalium_supinum","species","forbs",NA
"graminoids","graminoids","group","graminoids",NA
"grasses","grasses","group","graminoids",NA
"Gymnomitrion_type_hepatics","Gymnomitrion_type_hepatics","group","bryophytes","*could include liverworts with mosses and hornworts in bryophytes"
"Hepaticae","hepatics","group","bryophytes","*could include liverworts with mosses and hornworts in bryophytes"
"hepatics","hepatics","group","bryophytes","*could include liverworts with mosses and hornworts in bryophytes"
"herbaceous_plants","herbaceous_plants","group","forbs",NA
"herbs","herbaceous_plants","group","forbs",NA
"Hierochloe_alpina","Hierochloe_alpina","species","graminoids",NA
"Hippurus_tetraphylla","Hippurus_tetraphylla","species","forbs",NA
"horsetails","horsetails","group","forbs",NA
"Hylocomium_splendens","Hylocomium_splendens","species","bryophytes",NA
"Juncaceae","Juncaceae","group","graminoids",NA
"Juncus_biglumis","Juncus_biglumis","species","graminoids",NA
"Juncus_filiformis","Juncus_filiformis","species","graminoids",NA
"Juncus_trifidus","Juncus_trifidus","species","graminoids",NA
"Kiaeria_spp.","Kiaeria_spp","species","bryophytes",NA
"Kiaeria_starkei","Kiaeria_starkei","species","bryophytes",NA
"Lecidea_spp","Lecidea_spp","species","lichens",NA
"Ledum_decumbens","Ledum_decumbens","species","dwarf_shrubs",NA
"Ledum_groenlandicum","Ledum_groenlandicum","species","dwarf_shrubs",NA
"Leymus_mollis","Leymus_mollis","species","graminoids",NA
"lichens","lichens","group","lichens",NA
"Linnaea_borealis","Linnaea_borealis","species","forbs",NA
"litter","litter","group","litter",NA
"Lophozia_spp.","Lophozia_spp","species","bryophytes",NA
"Luzula_arcuata","Luzula_arcuata","species","graminoids",NA
"Luzula_multiflora","Luzula_multiflora","species","graminoids",NA
"Luzula_multiflora_spp._frigida","Luzula_multiflora_spp._frigida","species","graminoids",NA
"Luzula_spicata","Luzula_spicata","species","graminoids",NA
"Lycopodium_spp","Lycopodium_spp","species","vascular_cryptogams","*cannot merge with others"
"Marchantiophyta","Marchantiophyta","species","bryophytes","*could include liverworts with mosses and hornworts in bryophytes"
"Mnium","Mnium_spp","species","bryophytes",NA
"Moerkia_blyttii","Moerkia_blyttii","species","bryophytes",NA
"mosses","mosses","group","bryophytes",NA
"mosses_lichens","mosses_lichens","group","mosses_and_lichens","*cannot merge with others"
"mushrooms","fungi","group","fungi",NA
"Nephroma_arcticum","Nephroma_arcticum","species","lichens",NA
"Ochrolechia_spp","Ochrolechia_spp","species","lichens",NA
"other_forbs","forbs","group","forbs",NA
"other_graminoids","graminoids","group","graminoids",NA
"other_lichens","lichens","group","lichens",NA
"other_short_shrubs","short_shrubs","group","dwarf_shrubs",NA
"other_shrubs","shrubs","group","woody_species",NA
"Oxyria_digyna","Oxyria_digyna","species","forbs",NA
"Oxytropis_viscida","Oxytropis_viscida","species","forbs",NA
"Paludella_squarrosa","Paludella_squarrosa","species","bryophytes",NA
"Parnassia_palustris","Parnassia_palustris","species","forbs",NA
"Peltigera_rufocanus","Peltigera_rufocanus","species","lichens",NA
"Phlia/Bryum","Phlia/Bryum","species","bryophytes",NA
"Phyllodoce_caerulea","Phyllodoce_caerulea","species","dwarf_shrubs",NA
"Plagiomnium_spp","Plagiomnium_spp","species","bryophytes",NA
"Plantago_maritima","Plantago_maritima","species","forbs",NA
"Pleurozium_schreberi","Pleurozium_schreberi","species","bryophytes",NA
"Poa_abbreviata","Poa_abbreviata","species","graminoids",NA
"Poa_alpigena","Poa_pratensis_subsp._alpigena","species","graminoids",NA
"Poa_alpina","Poa_alpina","species","graminoids",NA
"Poa_arctica","Poa_arctica","species","graminoids",NA
"Poa_pratensis_subsp._alpigena","Poa_pratensis_subsp._alpigena","species","graminoids",NA
"Poa_sp","Poa_spp","species","graminoids",NA
"Poa_spp","Poa_spp","species","graminoids",NA
"Poaceae","Poaceae","group","graminoids",NA
"Pohlia_sp.","Pohlia_spp","species","bryophytes",NA
"Pohlia_spp","Pohlia_spp","species","bryophytes",NA
"Polygonaceae","Polygonaceae","group","forbs",NA
"Polygonum_viviparum","Polygonum_viviparum","species","forbs",NA
"Polytrichaceae","Polytrichaceae","group","bryophytes",NA
"Polytrichastrum_alpinum","Polytrichastrum_alpinum","species","bryophytes",NA
"Polytrichastrum_sexangulare","Polytrichastrum_sexangulare","species","bryophytes",NA
"Polytrichum","Polytrichum_spp","species","bryophytes",NA
"Polytrichum_alpinum","Polytrichum_alpinum","species","bryophytes",NA
"Polytrichum_commune","Polytrichum_commune","species","bryophytes",NA
"Polytrichum_hyperboreum","Polytrichum_hyperboreum","species","bryophytes",NA
"Polytrichum_juniperinum","Polytrichum_juniperinum","species","bryophytes",NA
"Polytrichum_juniperium","Polytrichum_juniperium","species","bryophytes",NA
"Polytrichum_norvegicum","Polytrichum_norvegicum","species","bryophytes",NA
"Polytrichum_piliferum","Polytrichum_piliferum","species","bryophytes",NA
"Polytrichum_spp","Polytrichum_spp","species","bryophytes",NA
"Potentilla_crantzii","Potentilla_crantzii","species","forbs",NA
"Potentilla_egedii","Potentilla_egedii","species","forbs",NA
"prostrate_herbs","prostrate_herbs","group","forbs",NA
"Psoroma_hypnorum","Psoroma_hypnorum","species","lichens",NA
"Puccinellia_phryganodes","Puccinellia_phryganodes","species","graminoids",NA
"Racomitrium_lanuginosum","Racomitrium_lanuginosum","species","bryophytes",NA
"Ranunculus_acris","Ranunculus_acris","species","forbs",NA
"Ranunculus_cymbalaria","Ranunculus_cymbalaria","species","forbs",NA
"Ranunculus_hyperboreus","Ranunculus_hyperboreus","species","forbs",NA
"Ranunculus_spp","Ranunculus_spp","species","forbs",NA
"Rhododendron_subarcticum","Rhododendron_subarcticum","species","dwarf_shrubs",NA
"robust_bryophytes","robust_bryophytes","group","bryophytes",NA
"Rubus_arcticus","Rubus_arcticus","species","forbs",NA
"Rubus_chamaemorus","Rubus_chamaemorus","species","forbs",NA
"Rumex_acetosa","Rumex_acetosa","species","forbs",NA
"Rumex_acetosella","Rumex_acetosella","species","forbs",NA
"rushes","rushes","group","graminoids",NA
"Salix_arctica","Salix_arctica","species","dwarf_shrubs",NA
"Salix_glauca","Salix_glauca","species","tall_shrubs",NA
"Salix_hastigiata","Salix_hastigiata","species","tall_shrubs",NA
"Salix_herbacea","Salix_herbacea","species","dwarf_shrubs",NA
"Salix_lapponum","Salix_lapponum","species","tall_shrubs",NA
"Salix_ovalifolia","Salix_ovalifolia","species","tall_shrubs",NA
"Salix_phylicifolia","Salix_phylicifolia","species","tall_shrubs",NA
"Salix_planifolia","Salix_planifolia","species","tall_shrubs",NA
"Salix_polaris","Salix_polaris","species","dwarf_shrubs",NA
"Salix_polaris_female","Salix_polaris_female","species","dwarf_shrubs",NA
"Salix_polaris_male","Salix_polaris_male","species","dwarf_shrubs",NA
"Salix_spp","Salix_spp","species","tall_shrubs",NA
"Salix_uva-ursi","Salix_uva-ursi","species","dwarf_shrubs",NA
"Sanionia_spp","Sanionia_spp","species","bryophytes",NA
"Sanionia_spp.","Sanionia_spp","species","bryophytes",NA
"Sanionia_uncinata","Sanionia_uncinata","species","bryophytes",NA
"Saussurea_alpina","Saussurea_alpina","species","forbs",NA
"Saxifraga_cernua","Saxifraga_cernua","species","forbs",NA
"Saxifraga_cespitosa","Saxifraga_cespitosa","species","forbs",NA
"Saxifraga_oppositifolia","Saxifraga_oppositifolia","species","forbs",NA
"sedges","sedges","group","graminoids",NA
"short_shrubs","short_shrubs","group","dwarf_shrubs",NA
"Sibbaldia_procumbens","Sibbaldia_procumbens","species","forbs",NA
"Silene_acaulis","Silene_acaulis","species","forbs",NA
"small_bryophytes","small_bryophytes","group","bryophytes",NA
"Solidago_macrophylla","Solidago_macrophylla","species","forbs",NA
"Solidago_virgaurea","Solidago_virgaurea","species","forbs",NA
"Sphaerophorus_globosus","Sphaerophorus_globosus","species","lichens",NA
"Sphagnum","Sphagnum_spp","species","bryophytes",NA
"Sphagnum_spp","Sphagnum_spp","species","bryophytes",NA
"Stellaria_graminea","Stellaria_graminea","species","forbs",NA
"Stellaria_longipes","Stellaria_longipes","species","forbs",NA
"Stereocaulon","Stereocaulon_spp","species","lichens",NA
"Stereocaulon_paschale","Stereocaulon_paschale","species","lichens",NA
"Stereocaulon_spp","Stereocaulon_spp","species","lichens",NA
"Straminergon_stramineum","Straminergon_stramineum","species","bryophytes",NA
"tall_shrubs","tall_shrubs","group","tall_shrubs",NA
"Thamnolia_spp","Thamnolia_spp","species","lichens",NA
"Trientalis_europaea","Trientalis_europaea","species","forbs",NA
"Triglochin_palustris","Triglochin_palustris","species","graminoids",NA
"Trollius_europaeus","Trollius_europaeus","species","forbs",NA
"Vaccinium_caespitosum","Vaccinium_caespitosum","species","dwarf_shrubs",NA
"Vaccinium_myrtillus","Vaccinium_myrtillus","species","dwarf_shrubs",NA
"Vaccinium_uliginosum","Vaccinium_uliginosum","species","dwarf_shrubs",NA
"Vaccinium_vitis-idaea","Vaccinium_vitis-idaea","species","dwarf_shrubs",NA
"vascular_cryptogams","vascular_cryptogams","group","vascular_cryptogams","*cannot merge with others"
"vascular_plants","vascular_plants","group","total","*cannot merge with others; maybe a big assumption but we could pool them with community"
"Veronica_alpina","Veronica_alpina","species","forbs",NA
"Veronica_longifolia","Veronica_longifolia","species","forbs",NA
"Viola_biflora","Viola_biflora","species","forbs",NA
"Viola_epipsila","Viola_epipsila","species","forbs",NA
"Warnstorfia_spp","Warnstorfia_spp","species","bryophytes",NA
"woody_plants","woody_plants","group","woody_species",NA
